"Pick","Team","Player","College","Year"
"53","BOS","Orien Greene","University of Louisiana at Lafayette","2005"
"54","NYK","Dijon Thompson","University of California, Los Angeles","2005"
"55","SEA","Lawrence Roberts","Mississippi State University","2005"
"56","DET","Amir Johnson","","2005"
"57","PHO","Marcin Gortat","","2005"
"58","TOR","Uros Slokar","","2005"
"59","ATL","Cenk Akyol","","2005"
"60","DET","Alex Acker","Pepperdine University","2005"
"1","TOR","Andrea Bargnani","","2006"
"2","CHI","LaMarcus Aldridge","University of Texas at Austin","2006"
"3","CHA","Adam Morrison","Gonzaga University","2006"
"4","POR","Tyrus Thomas","Louisiana State University","2006"
"5","ATL","Shelden Williams","Duke University","2006"
"6","MIN","Brandon Roy","University of Washington","2006"
"7","BOS","Randy Foye","Villanova University","2006"
"8","HOU","Rudy Gay","University of Connecticut","2006"
"9","GSW","Patrick O'Bryant","Bradley University","2006"
"10","SEA","Mouhamed Sene","","2006"
"11","ORL","J.J. Redick","Duke University","2006"
"12","NOK","Hilton Armstrong","University of Connecticut","2006"
"13","PHI","Thabo Sefolosha","","2006"
"14","UTA","Ronnie Brewer","University of Arkansas","2006"
"15","NOK","Cedric Simmons","North Carolina State University","2006"
"16","CHI","Rodney Carney","University of Memphis","2006"
"17","IND","Shawne Williams","University of Memphis","2006"
"18","WAS","Oleksiy Pecherov","","2006"
"19","SAC","Quincy Douby","Rutgers University","2006"
"20","NYK","Renaldo Balkman","University of South Carolina","2006"
"21","PHO","Rajon Rondo","University of Kentucky","2006"
"22","NJN","Marcus Williams","University of Connecticut","2006"
"23","NJN","Josh Boone","University of Connecticut","2006"
"24","MEM","Kyle Lowry","Villanova University","2006"
"25","CLE","Shannon Brown","Michigan State University","2006"
"26","LAL","Jordan Farmar","University of California, Los Angeles","2006"
"27","PHO","Sergio Rodriguez","","2006"
"28","DAL","Maurice Ager","Michigan State University","2006"
"29","NYK","Mardy Collins","Temple University","2006"
"30","POR","Joel Freeland","","2006"
"31","POR","James White","University of Cincinnati","2006"
"32","HOU","Steve Novak","Marquette University","2006"
"33","ATL","Solomon Jones","University of South Florida","2006"
"34","LAC","Paul Davis","Michigan State University","2006"
"35","TOR","P.J. Tucker","University of Texas at Austin","2006"
"36","MIN","Craig Smith","Boston College","2006"
"37","MIN","Bobby Jones","University of Washington","2006"
"38","GSW","Kosta Perovic","","2006"
"39","MIL","David Noel","University of North Carolina","2006"
"40","SEA","Denham Brown","University of Connecticut","2006"
"41","ORL","James Augustine","University of Illinois at Urbana-Champaign","2006"
"42","CLE","Daniel Gibson","University of Texas at Austin","2006"
"43","NOK","Marcus Vinicius","","2006"
"44","ORL","Lior Eliyahu","","2006"
"45","IND","Alexander Johnson","Florida State University","2006"
"46","UTA","Dee Brown","University of Illinois at Urbana-Champaign","2006"
"47","UTA","Paul Millsap","Louisiana Tech University","2006"
