"Player","Pos","Season","Age","Tm","P2Per","P3Per","FTPer","effMin","eff3PA","eff2PA","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Jerry Stackhouse","SF","2006-2007",32,"DAL",0.443,0.383,0.847,0.410315040650407,0.10030959752322,0.304643962848297,0.13312693498452,0.0241486068111455,0.0656346749226006,0.0897832817337461,0.115789473684211,0.0315789473684211,0.00619195046439629,0.0724458204334365,0.048297213622291,0.497832817337461,15.7994645163794,-5.10739354290938
"DeShawn Stevenson","SG","2006-2007",25,"WAS",0.479,0.404,0.704,0.614583333333333,0.0756510954940058,0.235634559735428,0.0892930963207937,0.0227366680446465,0.0665564282761472,0.0892930963207937,0.09011988424969,0.0268706076891277,0.00785448532451426,0.0491938817693262,0.0640760644894584,0.38032244729227,-1.29230469465618,-0.606333293055894
"Damon Stoudamire","PG","2006-2007",33,"MEM",0.427,0.337,0.795,0.38135162601626,0.116588940706196,0.174550299800133,0.0552964690206529,0.0206528980679547,0.0719520319786809,0.0926049300466356,0.199200532978015,0.0313124583610926,0.00133244503664224,0.067288474350433,0.0632911392405063,0.311125916055963,12.2820825839321,-21.1655778736954
"Salim Stoudamire","SG","2006-2007",24,"ATL",0.448,0.361,0.897,0.26270325203252,0.149903288201161,0.261121856866538,0.0657640232108317,0.00580270793036751,0.0657640232108317,0.0715667311411992,0.0589941972920696,0.0203094777562863,0.00193423597678917,0.0531914893617021,0.0851063829787234,0.455512572533849,13.9059601943521,-8.53151948897297
"Amar'e Stoudemire","C","2006-2007",24,"PHO",0.577,0,0.781,0.683180894308943,0.00111565637783563,0.391223503161026,0.217552993677947,0.0825585719598364,0.209743399033098,0.292301970992934,0.0312383785793975,0.0290070658237263,0.0409074005206396,0.0862774265526218,0.10970621048717,0.621420602454444,-23.5083257744509,-14.7575592299178
"Stromile Swift","C","2006-2007",27,"MEM",0.472,0,0.724,0.261432926829268,0.00485908649173955,0.331389698736638,0.13022351797862,0.0826044703595724,0.160349854227405,0.242954324586978,0.0165208940719145,0.0291545189504373,0.0602526724975705,0.0670553935860058,0.141885325558795,0.407191448007775,-25.4861336511775,-2.99350849305084
"Wally Szczerbiak","SF","2006-2007",29,"BOS",0.415,0.415,0.897,0.228658536585366,0.117777777777778,0.313333333333333,0.14,0.0177777777777778,0.0911111111111111,0.108888888888889,0.0611111111111111,0.02,0.00333333333333333,0.06,0.0722222222222222,0.532222222222222,17.0594210985718,-9.52842925643871
"Sebastian Telfair","PG","2006-2007",21,"BOS",0.402,0.289,0.818,0.400914634146341,0.0811153358681876,0.219264892268695,0.0697084917617237,0.0107731305449937,0.0576679340937896,0.0684410646387833,0.138149556400507,0.0272496831432193,0.00697084917617237,0.0621039290240811,0.105196451204056,0.303548795944233,3.01327054049585,-23.498953041115
"Jason Terry","SG","2006-2007",29,"DAL",0.508,0.438,0.804,0.723069105691057,0.130007027406887,0.243499648629656,0.0699226985242446,0.0144061841180604,0.0667603654251581,0.0811665495432186,0.14827828531272,0.0284609978917779,0.00597329585382994,0.0534082923401265,0.0597329585382994,0.474349964862966,22.9978876314787,-9.599569744937
"Etan Thomas","C","2006-2007",28,"WAS",0.574,0,0.558,0.316565040650407,0,0.2223113964687,0.110754414125201,0.109149277688604,0.193418940609952,0.302568218298555,0.0232744783306581,0.0176565008025682,0.0714285714285714,0.0569823434991974,0.130016051364366,0.317014446227929,-28.3249789697025,13.0748947806563
"Kenny Thomas","PF","2006-2007",29,"SAC",0.483,0,0.513,0.358739837398374,0.000708215297450425,0.213881019830028,0.0538243626062323,0.0949008498583569,0.172096317280453,0.26699716713881,0.0538243626062323,0.0304532577903683,0.0113314447592068,0.0637393767705382,0.0998583569405099,0.234419263456091,-16.1086972739069,19.7068023509856
"Kurt Thomas","C","2006-2007",34,"PHO",0.488,0,0.789,0.306910569105691,0.000827814569536424,0.213576158940397,0.0587748344370861,0.0711920529801325,0.242549668874172,0.313741721854305,0.0198675496688742,0.0198675496688742,0.0240066225165563,0.0289735099337748,0.129139072847682,0.254966887417219,-13.9220939912261,12.4821966314491
"Tim Thomas","PF","2006-2007",29,"LAC",0.444,0.382,0.708,0.521849593495935,0.17332035053554,0.178675754625122,0.0701071080817916,0.0306718597857838,0.153359298928919,0.184031158714703,0.0832521908471276,0.0267770204479065,0.0136319376825706,0.0516066212268744,0.111002921129503,0.407010710808179,26.6538351655502,7.97955426577753
"Tyrus Thomas","PF","2006-2007",20,"CHI",0.479,0,0.606,0.245426829268293,0.0020703933747412,0.289855072463768,0.181159420289855,0.0921325051759834,0.186335403726708,0.278467908902692,0.041407867494824,0.0476190476190476,0.0786749482401656,0.0973084886128364,0.167701863354037,0.387163561076605,-25.0903833529567,-2.29738626855175
"Jamaal Tinsley","PG","2006-2007",28,"IND",0.409,0.316,0.72,0.569867886178862,0.0860454748105216,0.31029870708872,0.106553722692822,0.0267498885421311,0.0802496656263932,0.106999554168524,0.220240748996879,0.0521622826571556,0.0111457868925546,0.0891662951404369,0.0847079803834151,0.412394115024521,5.65407131851015,-29.4897919770928
"Ronny Turiaf","C","2006-2007",24,"LAL",0.551,0,0.664,0.276168699186992,0.000919963201471941,0.245630174793008,0.12327506899724,0.0809567617295308,0.157313707451702,0.238270469181233,0.0579576816927323,0.015639374425023,0.0717571297148114,0.0478380864765409,0.185832566697332,0.352345906163753,-28.7510354612562,10.4923668974511
