"Player","Pos","Season","Age","Tm","effMin","eff3PA","eff3PM","eff2PA","eff2PM","effFTA","effFTM","effORB","effDRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Boris Diaw","PF","2015-2016",33,"SAS",0.379166666666667,0.000603055481104262,0.000201018493701421,0.00274725274725275,0.00154114178504422,0.000670061645671402,0.000469043151969981,0.000536049316537122,0.00154114178504422,0.00154114178504422,0.000201018493701421,0.000201018493701421,0.000871080139372822,0.000871080139372822,0.00428839453229697,37.2045530969303,15.3801835367655
"Boris Diaw","PF","2016-2017",34,"UTA",0.366666666666667,0.00076219512195122,0.000207871396895787,0.00235587583148559,0.00117793791574279,0.000346452328159645,0.000277161862527716,0.000415742793791574,0.00103935698447894,0.00159368070953437,0.000138580931263858,0.000069290465631929,0.000831485587583148,0.00076219512195122,0.00318736141906874,41.9784230462894,19.9100218610536
"Bostjan Nachbar","SF","2003-2004",23,"HOU",0.239583333333333,0.00148462354188759,0.000530222693531283,0.00159066808059385,0.000530222693531283,0.00063626723223754,0.000530222693531283,0.000212089077412513,0.00148462354188759,0.000742311770943796,0.00031813361611877,0.00031813361611877,0.000530222693531283,0.00169671261930011,0.00328738069989396,-19.7371610978025,20.4726452831869
"Bostjan Nachbar","PF-SF","2004-2005",24,"TOT",0.39375,0.001806684733514,0.000709769002451929,0.00193573364305072,0.000774293457220286,0.00103239127629372,0.000903342366757001,0.000193573364305072,0.00141953800490386,0.000645244547683572,0.000258097819073429,0.000129048909536714,0.000645244547683572,0.00167763582397729,0.004516711833785,8.96919608074754,35.4872525616094
"Bostjan Nachbar","PF-SF","2005-2006",25,"TOT",0.289583333333333,0.00175469380593087,0.000438673451482716,0.00210563256711704,0.000877346902965433,0.00105281628355852,0.000701877522372346,0.000175469380593087,0.00122828566415161,0.000701877522372346,0.000350938761186173,0.0000877346902965433,0.000614142832075803,0.00157922442533778,0.0038603263730479,-11.7439069579073,37.4292457206129
"Bostjan Nachbar","SF","2006-2007",26,"NJN",0.420833333333333,0.00211301617966675,0.00090557836271432,0.00181115672542864,0.00090557836271432,0.00132818159864767,0.00102632214440956,0.000241487563390485,0.00181115672542864,0.000482975126780971,0.000241487563390485,0.000181115672542864,0.000543347017628592,0.00144892538034291,0.00555421395798116,10.6759320514606,35.5168513908853
"Bostjan Nachbar","PF","2007-2008",27,"NJN",0.460416666666667,0.00193135415517051,0.000717360114777618,0.00253835117536696,0.00110363094581172,0.00143472022955524,0.00115881249310231,0.000386270831034102,0.00148990177684582,0.000662178567487032,0.000331089283743516,0.000165544641871758,0.000606997020196446,0.00132435713497406,0.00540779163447743,-4.09769310245063,29.2684781988475
"Bracey Wright","SG","2005-2006",21,"MIN",0.402083333333333,0.00151649184885631,0.000568684443321117,0.00309617085808164,0.00132693036774927,0.0014533046884873,0.00126374320738026,0.000252748641476052,0.00132693036774927,0.000442310122583091,0.000063187160369013,0,0.000695058764059143,0.000695058764059143,0.00562365727284216,0.566329862059507,26.1030631864198
"Bracey Wright","SG","2006-2007",22,"MIN",0.208333333333333,0.00134146341463415,0.000365853658536585,0.0025609756097561,0.00109756097560976,0.00109756097560976,0.000853658536585366,0.000487804878048781,0.000853658536585366,0.000975609756097561,0.000609756097560976,0.000121951219512195,0.000365853658536585,0.000365853658536585,0.00426829268292683,-27.9701520058862,24.7233843694906
"Brad Lohaus","PF","1996-1997",32,"TOR",0.15625,0.00195121951219512,0.00048780487804878,0.00211382113821138,0.00048780487804878,0,0,0.00032520325203252,0.0016260162601626,0.00032520325203252,0.00032520325203252,0,0.00032520325203252,0.0016260162601626,0.00276422764227642,-22.9024767929449,28.275580714115
"Brad Lohaus","PF","1997-1998",33,"SAS",0.235416666666667,0.00172674293114613,0.000431685732786531,0.000863371465573063,0.000323764299589899,0.000323764299589899,0.000107921433196633,0.000323764299589899,0.00107921433196633,0.000647528599179797,0.000107921433196633,0.000215842866393266,0.000323764299589899,0.00118713576516296,0.00226635009712929,-20.5729860976821,33.2012760492087
"Brad Miller","C","2001-2002",25,"TOT",0.620833333333333,0.0000409232280242266,0,0.00392862989032575,0.00196431494516287,0.00204616140121133,0.00159600589294484,0.00135046652479948,0.0020052381731871,0.000818464560484531,0.000409232280242266,0.000204616140121133,0.000613848420363398,0.00130954329677525,0.00556555901129481,-31.4964505599442,-6.98859899373474
"Brad Miller","C","1998-1999",22,"CHH",0.25625,0.000099147332936744,0,0.00356930398572278,0.00198294665873488,0.00267697798929209,0.00208209399167162,0.000892325996430696,0.00218124132460837,0.000594883997620464,0.000198294665873488,0.00049573666468372,0.000793178663493952,0.00168550465992465,0.00624628197501487,-24.9451390407897,12.3603874205337
"Brad Miller","C","1999-2000",23,"CHH",0.364583333333333,0,0,0.00369337979094077,0.00174216027874564,0.0024390243902439,0.00195121951219512,0.00146341463414634,0.00229965156794425,0.000557491289198606,0.000278745644599303,0.000418118466898955,0.000627177700348432,0.00139372822299652,0.00536585365853659,-33.1268469812019,-9.14249067021941
"Brad Miller","C","2000-2001",24,"CHI",0.525,0.0000483933410762679,0,0.00324235385210995,0.00140340689121177,0.00193573364305072,0.00140340689121177,0.0012098335269067,0.00232288037166086,0.00091947348044909,0.000290360046457607,0.000338753387533875,0.000629113433991483,0.0015001935733643,0.00430700735578784,-35.0564226475487,-2.29589432947641
"Brad Miller","C","2002-2003",26,"IND",0.647916666666667,0.0000784252215512509,0.0000392126107756254,0.00348992235903066,0.00172535487412752,0.00192141792800565,0.00156850443102502,0.000980315269390636,0.00223511881421065,0.00101952788016626,0.000352913496980629,0.000235275664653753,0.000627401772410007,0.00109795310171751,0.00513685201160693,9.73489008578289,-27.9470923796039
"Brad Miller","PF","2003-2004",27,"SAC",0.758333333333333,0.00016751541141785,0.0000670061645671402,0.00321629589922273,0.0016751541141785,0.00154114178504422,0.00120611096220852,0.000904583221656392,0.0025797373358349,0.00144063253819351,0.000301527740552131,0.000402036987402841,0.000670061645671402,0.00113910479764138,0.00472393460198338,8.61835751655959,-28.6448490597574
